2026-08-11 00:06:32,549 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0x53', 'ex_datars2_i': '0x7b'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xce'}}
2026-08-11 00:06:32,555 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x2', 'ex_datars1_i': '0x39', 'ex_datars2_i': '0xb5'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x284d'}}
2026-08-11 00:06:32,556 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xb', 'ex_datars1_i': '0xc6', 'ex_datars2_i': '0x4d'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,556 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x3', 'ex_datars1_i': '0x44', 'ex_datars2_i': '0x6a'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,556 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x2', 'ex_datars1_i': '0x4d', 'ex_datars2_i': '0xba'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x37f2'}}
2026-08-11 00:06:32,556 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0x2', 'ex_datars2_i': '0x64'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,557 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x4', 'ex_datars1_i': '0x78', 'ex_datars2_i': '0x80'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,557 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x3', 'ex_datars1_i': '0x39', 'ex_datars2_i': '0x9c'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,557 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xb', 'ex_datars1_i': '0x7a', 'ex_datars2_i': '0x4d'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,557 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0x26', 'ex_datars2_i': '0x4a'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,558 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x3', 'ex_datars1_i': '0x91', 'ex_datars2_i': '0x8a'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x1'}}
2026-08-11 00:06:32,558 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x5', 'ex_datars1_i': '0x28', 'ex_datars2_i': '0xc4'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xec'}}
2026-08-11 00:06:32,558 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x5', 'ex_datars1_i': '0x37', 'ex_datars2_i': '0x60'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x57'}}
2026-08-11 00:06:32,559 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xe', 'ex_datars1_i': '0xab', 'ex_datars2_i': '0x41'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,559 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0xb1', 'ex_datars2_i': '0x8b'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x13c'}}
2026-08-11 00:06:32,559 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x2', 'ex_datars1_i': '0xb6', 'ex_datars2_i': '0xc2'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x89ec'}}
2026-08-11 00:06:32,560 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x0', 'ex_datars1_i': '0xa', 'ex_datars2_i': '0x6a'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,560 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x0', 'ex_datars1_i': '0x5d', 'ex_datars2_i': '0x6e'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,560 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0xc', 'ex_datars2_i': '0x9d'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,560 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0xa5', 'ex_datars2_i': '0xb7'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,561 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x3', 'ex_datars1_i': '0x7', 'ex_datars2_i': '0x12'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,561 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x3', 'ex_datars1_i': '0x18', 'ex_datars2_i': '0x6e'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,561 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0x3f', 'ex_datars2_i': '0xc2'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,561 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xb', 'ex_datars1_i': '0x68', 'ex_datars2_i': '0x43'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,562 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x4', 'ex_datars1_i': '0x3', 'ex_datars2_i': '0x56'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x2'}}
2026-08-11 00:06:32,562 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x0', 'ex_datars1_i': '0xa2', 'ex_datars2_i': '0xc4'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,562 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x2', 'ex_datars1_i': '0x99', 'ex_datars2_i': '0x72'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x4422'}}
2026-08-11 00:06:32,563 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0x52', 'ex_datars2_i': '0x26'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x78'}}
2026-08-11 00:06:32,563 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xb', 'ex_datars1_i': '0x9e', 'ex_datars2_i': '0x60'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,563 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x7', 'ex_datars1_i': '0xb4', 'ex_datars2_i': '0x3'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x5a0'}}
2026-08-11 00:06:32,564 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x1', 'ex_datars1_i': '0xa8', 'ex_datars2_i': '0x34'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x74'}}
2026-08-11 00:06:32,564 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0x9e', 'ex_datars2_i': '0x2f'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,564 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0x89', 'ex_datars2_i': '0x98'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x121'}}
2026-08-11 00:07:20,295 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xd', 'ex_datars1_i': '0x3e', 'ex_datars2_i': '0x36'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,296 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x5', 'ex_datars1_i': '0x58', 'ex_datars2_i': '0xae'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xf6'}}
2026-08-11 00:07:20,296 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x7', 'ex_datars1_i': '0xb4', 'ex_datars2_i': '0x7d'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,296 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x7', 'ex_datars1_i': '0xbd', 'ex_datars2_i': '0x31'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,297 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0x5f', 'ex_datars2_i': '0x53'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xb2'}}
2026-08-11 00:07:20,297 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x4', 'ex_datars1_i': '0x7e', 'ex_datars2_i': '0x1d'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x1c'}}
2026-08-11 00:07:20,297 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x6', 'ex_datars1_i': '0x38', 'ex_datars2_i': '0xa1'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xb9'}}
2026-08-11 00:07:20,298 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x4', 'ex_datars1_i': '0xaa', 'ex_datars2_i': '0x2'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x2'}}
2026-08-11 00:07:20,298 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x0', 'ex_datars1_i': '0x7a', 'ex_datars2_i': '0xa2'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,298 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xd', 'ex_datars1_i': '0x4a', 'ex_datars2_i': '0x54'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,299 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x4', 'ex_datars1_i': '0xa1', 'ex_datars2_i': '0x2d'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x21'}}
2026-08-11 00:07:20,299 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x9', 'ex_datars1_i': '0x1f', 'ex_datars2_i': '0xe'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,299 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x3', 'ex_datars1_i': '0x96', 'ex_datars2_i': '0x4c'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x1'}}
2026-08-11 00:07:20,300 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0x4c', 'ex_datars2_i': '0xb7'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x103'}}
2026-08-11 00:07:20,300 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xe', 'ex_datars1_i': '0x12', 'ex_datars2_i': '0x69'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,300 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0x16', 'ex_datars2_i': '0x4d'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,301 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x1', 'ex_datars1_i': '0x70', 'ex_datars2_i': '0x5e'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x12'}}
2026-08-11 00:07:20,301 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x1', 'ex_datars1_i': '0x68', 'ex_datars2_i': '0xa0'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xffffffc8'}}
2026-08-11 00:07:20,302 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x6', 'ex_datars1_i': '0xb2', 'ex_datars2_i': '0xa8'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xba'}}
2026-08-11 00:07:20,302 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x6', 'ex_datars1_i': '0x36', 'ex_datars2_i': '0x35'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x37'}}
2026-08-11 00:07:20,303 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xc', 'ex_datars1_i': '0x53', 'ex_datars2_i': '0x26'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,303 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xd', 'ex_datars1_i': '0x8d', 'ex_datars2_i': '0xa9'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,303 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x3', 'ex_datars1_i': '0xd', 'ex_datars2_i': '0x90'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,304 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0x7f', 'ex_datars2_i': '0x92'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,304 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x4', 'ex_datars1_i': '0x68', 'ex_datars2_i': '0x34'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x20'}}
2026-08-11 00:07:20,304 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xc', 'ex_datars1_i': '0x8b', 'ex_datars2_i': '0x45'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,304 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xc', 'ex_datars1_i': '0x69', 'ex_datars2_i': '0x78'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,305 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0x34', 'ex_datars2_i': '0x68'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,305 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x1', 'ex_datars1_i': '0x48', 'ex_datars2_i': '0x58'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xfffffff0'}}
2026-08-11 00:07:20,305 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x1', 'ex_datars1_i': '0x4a', 'ex_datars2_i': '0x37'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x13'}}
2026-08-11 00:07:20,306 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x5', 'ex_datars1_i': '0x5a', 'ex_datars2_i': '0x1'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x5b'}}
2026-08-11 00:07:20,306 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x6', 'ex_datars1_i': '0x66', 'ex_datars2_i': '0xc8'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xee'}}
2026-08-11 00:07:20,306 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x9', 'ex_datars1_i': '0x2a', 'ex_datars2_i': '0xb3'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x1'}}
2026-08-11 00:07:20,307 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x0', 'ex_datars1_i': '0x5f', 'ex_datars2_i': '0x85'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,307 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xa', 'ex_datars1_i': '0xbc', 'ex_datars2_i': '0xc'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,307 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0x35', 'ex_datars2_i': '0xa9'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xde'}}
2026-08-11 00:07:20,307 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x7', 'ex_datars1_i': '0x98', 'ex_datars2_i': '0xc5'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,308 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0x74', 'ex_datars2_i': '0x93'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x107'}}
2026-08-11 00:07:20,308 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0xbd', 'ex_datars2_i': '0x1f'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,308 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x7', 'ex_datars1_i': '0x2b', 'ex_datars2_i': '0x5'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x560'}}
2026-08-11 00:07:20,309 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xc', 'ex_datars1_i': '0x5a', 'ex_datars2_i': '0x91'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,309 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x3', 'ex_datars1_i': '0xc3', 'ex_datars2_i': '0x39'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x3'}}
2026-08-11 00:07:20,309 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x7', 'ex_datars1_i': '0x80', 'ex_datars2_i': '0xc3'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,309 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x4', 'ex_datars1_i': '0x7b', 'ex_datars2_i': '0xc6'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x42'}}
2026-08-11 00:07:20,310 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0x3f', 'ex_datars2_i': '0x37'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x76'}}
2026-08-11 00:07:20,310 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x7', 'ex_datars1_i': '0x22', 'ex_datars2_i': '0x9'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x4400'}}
2026-08-11 00:07:20,310 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x0', 'ex_datars1_i': '0x4a', 'ex_datars2_i': '0x18'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,311 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xa', 'ex_datars1_i': '0x72', 'ex_datars2_i': '0x24'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,311 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x0', 'ex_datars1_i': '0x18', 'ex_datars2_i': '0x14'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:20,311 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xd', 'ex_datars1_i': '0x64', 'ex_datars2_i': '0x81'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:55,686 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0x67', 'ex_datars2_i': '0x77'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:07:55,687 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x1', 'ex_datars1_i': '0x86', 'ex_datars2_i': '0x32'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x54'}}
2026-08-11 00:07:55,688 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xa', 'ex_datars1_i': '0x9b', 'ex_datars2_i': '0xc2'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x1'}}
